url,qtd,status
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/barreiro?rts=303,1,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/barreiro?rts=302,528,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/barreiro,2358,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/pampulha?rts=305,102,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/pampulha?rts=304,8,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/pampulha?rts=303,9,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/pampulha?rts=302,4933,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/pampulha?pe=0&ps=390625,4148,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/pampulha?pe=390626&ps=488282,2641,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/pampulha?pe=488283&ps=585938,2485,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/pampulha?pe=585939&ps=781250,3740,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/pampulha?pe=781251&ps=1562500,4898,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/pampulha?pe=1562501&ps=3125000,937,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/pampulha?pe=3125001&ps=6250000,3,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/venda-nova?rts=305,3,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/venda-nova?rts=303,3,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/venda-nova?rts=302,1096,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/venda-nova,4471,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-centro-sul?rts=305,306,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-centro-sul?rts=304,18,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-centro-sul?rts=303,28,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-centro-sul?rts=302&pe=0&ps=6250000,4945,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-centro-sul?rts=302&pe=6250001&ps=12500000,150,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-centro-sul?rts=302&pe=12500001&ps=25000000,4,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-centro-sul?pe=0&ps=390625,1793,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-centro-sul?pe=390626&ps=585938,4235,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-centro-sul?pe=585939&ps=683594,2353,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-centro-sul?pe=683595&ps=781250,2782,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-centro-sul?pe=781251&ps=976563,4752,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-centro-sul?pe=976564&ps=1171875,3744,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-centro-sul?pe=1171876&ps=1367188,3883,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-centro-sul?pe=1367189&ps=1562500,2801,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-centro-sul?pe=1562501&ps=1953125,3770,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-centro-sul?pe=1953126&ps=2343750,2716,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-centro-sul?pe=2343751&ps=3125000,2977,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-centro-sul?pe=3125001&ps=6250000,2595,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-centro-sul?pe=6250001&ps=12500000,308,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-centro-sul?pe=12500001&ps=25000000,5,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-centro-sul?pe=25000001&ps=50000000,1,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-leste?rts=305,7,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-leste?rts=304,3,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-leste?rts=303,3,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-leste?rts=302,1162,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-leste?pe=0&ps=781250,4429,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-leste?pe=781251&ps=1562500,1558,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-leste?pe=1562501&ps=3125000,162,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-leste?pe=3125001&ps=6250000,42,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-leste?pe=6250001&ps=12500000,9,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-leste?pe=12500001&ps=25000000,1,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-nordeste?rts=305,30,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-nordeste?rts=304,1,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-nordeste?rts=303,4,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-nordeste?rts=302,1635,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-nordeste?pe=0&ps=781250,4865,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-nordeste?pe=781251&ps=1562500,2277,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-nordeste?pe=1562501&ps=3125000,341,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-nordeste?pe=3125001&ps=6250000,4,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-nordeste?pe=50000001&ps=100000000,1,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-noroeste?rts=305,14,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-noroeste?rts=304,1,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-noroeste?rts=303,1,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-noroeste?rts=302,1241,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-noroeste?pe=0&ps=390625,3062,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-noroeste?pe=390626&ps=781250,2813,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-noroeste?pe=781251&ps=1562500,968,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-noroeste?pe=1562501&ps=3125000,66,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-norte?rts=305,1,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-norte?rts=304,1,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-norte?rts=303,5,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-norte?rts=302,744,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-norte,3311,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-oeste?rts=305,97,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-oeste?rts=304,1,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-oeste?rts=303,9,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-oeste?rts=302,2637,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-oeste?pe=0&ps=390625,2421,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-oeste?pe=390626&ps=585938,3516,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-oeste?pe=585939&ps=781250,3175,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-oeste?pe=781251&ps=1171875,3877,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-oeste?pe=1171876&ps=1562500,1732,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-oeste?pe=1562501&ps=3125000,1363,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-oeste?pe=3125001&ps=6250000,184,finished
https://www.olx.com.br/imoveis/venda/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-oeste?pe=6250001&ps=12500000,18,finished
https://www.olx.com.br/imoveis/aluguel/apartamentos/estado-mg/belo-horizonte-e-regiao/barreiro?rts=304,21,finished
https://www.olx.com.br/imoveis/aluguel/apartamentos/estado-mg/belo-horizonte-e-regiao/barreiro?rts=302,24,finished
https://www.olx.com.br/imoveis/aluguel/apartamentos/estado-mg/belo-horizonte-e-regiao/barreiro,145,finished
https://www.olx.com.br/imoveis/aluguel/apartamentos/estado-mg/belo-horizonte-e-regiao/pampulha?rts=305,14,finished
https://www.olx.com.br/imoveis/aluguel/apartamentos/estado-mg/belo-horizonte-e-regiao/pampulha?rts=304,16,finished
https://www.olx.com.br/imoveis/aluguel/apartamentos/estado-mg/belo-horizonte-e-regiao/pampulha?rts=302,200,finished
https://www.olx.com.br/imoveis/aluguel/apartamentos/estado-mg/belo-horizonte-e-regiao/pampulha,845,finished
https://www.olx.com.br/imoveis/aluguel/apartamentos/estado-mg/belo-horizonte-e-regiao/venda-nova?rts=305,2,finished
https://www.olx.com.br/imoveis/aluguel/apartamentos/estado-mg/belo-horizonte-e-regiao/venda-nova?rts=304,11,finished
https://www.olx.com.br/imoveis/aluguel/apartamentos/estado-mg/belo-horizonte-e-regiao/venda-nova?rts=303,1,finished
https://www.olx.com.br/imoveis/aluguel/apartamentos/estado-mg/belo-horizonte-e-regiao/venda-nova?rts=302,20,finished
https://www.olx.com.br/imoveis/aluguel/apartamentos/estado-mg/belo-horizonte-e-regiao/venda-nova,136,finished
https://www.olx.com.br/imoveis/aluguel/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-centro-sul?rts=305,60,finished
https://www.olx.com.br/imoveis/aluguel/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-centro-sul?rts=304,18,finished
https://www.olx.com.br/imoveis/aluguel/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-centro-sul?rts=303,2,finished
https://www.olx.com.br/imoveis/aluguel/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-centro-sul?rts=302,246,finished
https://www.olx.com.br/imoveis/aluguel/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-centro-sul,2171,finished
https://www.olx.com.br/imoveis/aluguel/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-leste?rts=305,5,finished
https://www.olx.com.br/imoveis/aluguel/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-leste?rts=304,19,finished
https://www.olx.com.br/imoveis/aluguel/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-leste?rts=302,21,finished
https://www.olx.com.br/imoveis/aluguel/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-leste,198,finished
https://www.olx.com.br/imoveis/aluguel/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-nordeste?rts=305,7,finished
https://www.olx.com.br/imoveis/aluguel/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-nordeste?rts=304,12,finished
https://www.olx.com.br/imoveis/aluguel/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-nordeste?rts=303,1,finished
https://www.olx.com.br/imoveis/aluguel/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-nordeste?rts=302,50,finished
https://www.olx.com.br/imoveis/aluguel/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-nordeste,286,finished
https://www.olx.com.br/imoveis/aluguel/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-noroeste?rts=305,15,finished
https://www.olx.com.br/imoveis/aluguel/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-noroeste?rts=304,42,finished
https://www.olx.com.br/imoveis/aluguel/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-noroeste?rts=302,25,finished
https://www.olx.com.br/imoveis/aluguel/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-noroeste,341,finished
https://www.olx.com.br/imoveis/aluguel/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-norte?rts=305,1,finished
https://www.olx.com.br/imoveis/aluguel/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-norte?rts=304,9,finished
https://www.olx.com.br/imoveis/aluguel/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-norte?rts=302,14,finished
https://www.olx.com.br/imoveis/aluguel/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-norte,197,finished
https://www.olx.com.br/imoveis/aluguel/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-oeste?rts=305,24,finished
https://www.olx.com.br/imoveis/aluguel/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-oeste?rts=304,16,finished
https://www.olx.com.br/imoveis/aluguel/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-oeste?rts=302,147,finished
https://www.olx.com.br/imoveis/aluguel/apartamentos/estado-mg/belo-horizonte-e-regiao/zona-oeste,929,finished
https://www.olx.com.br/imoveis/venda/casas/estado-mg/belo-horizonte-e-regiao/barreiro?rts=301,34,finished
https://www.olx.com.br/imoveis/venda/casas/estado-mg/belo-horizonte-e-regiao/barreiro?rts=300,18,finished
https://www.olx.com.br/imoveis/venda/casas/estado-mg/belo-horizonte-e-regiao/barreiro,1623,finished
https://www.olx.com.br/imoveis/venda/casas/estado-mg/belo-horizonte-e-regiao/pampulha?rts=301,10,finished
https://www.olx.com.br/imoveis/venda/casas/estado-mg/belo-horizonte-e-regiao/pampulha?rts=300,589,finished
https://www.olx.com.br/imoveis/venda/casas/estado-mg/belo-horizonte-e-regiao/pampulha?pe=0&ps=781250,2868,finished
https://www.olx.com.br/imoveis/venda/casas/estado-mg/belo-horizonte-e-regiao/pampulha?pe=781251&ps=1562500,3643,finished
https://www.olx.com.br/imoveis/venda/casas/estado-mg/belo-horizonte-e-regiao/pampulha?pe=1562501&ps=3125000,1998,finished
https://www.olx.com.br/imoveis/venda/casas/estado-mg/belo-horizonte-e-regiao/pampulha?pe=3125001&ps=6250000,617,finished
https://www.olx.com.br/imoveis/venda/casas/estado-mg/belo-horizonte-e-regiao/pampulha?pe=6250001&ps=12500000,82,finished
https://www.olx.com.br/imoveis/venda/casas/estado-mg/belo-horizonte-e-regiao/pampulha?pe=12500001&ps=25000000,3,finished
https://www.olx.com.br/imoveis/venda/casas/estado-mg/belo-horizonte-e-regiao/venda-nova?rts=301,20,finished
https://www.olx.com.br/imoveis/venda/casas/estado-mg/belo-horizonte-e-regiao/venda-nova?rts=300,140,finished
https://www.olx.com.br/imoveis/venda/casas/estado-mg/belo-horizonte-e-regiao/venda-nova,2698,finished
https://www.olx.com.br/imoveis/venda/casas/estado-mg/belo-horizonte-e-regiao/zona-centro-sul?rts=301,20,finished
https://www.olx.com.br/imoveis/venda/casas/estado-mg/belo-horizonte-e-regiao/zona-centro-sul?rts=300,29,finished
https://www.olx.com.br/imoveis/venda/casas/estado-mg/belo-horizonte-e-regiao/zona-centro-sul,3329,finished
https://www.olx.com.br/imoveis/venda/casas/estado-mg/belo-horizonte-e-regiao/zona-leste?rts=301,9,finished
https://www.olx.com.br/imoveis/venda/casas/estado-mg/belo-horizonte-e-regiao/zona-leste?rts=300,15,finished
https://www.olx.com.br/imoveis/venda/casas/estado-mg/belo-horizonte-e-regiao/zona-leste,2412,finished
https://www.olx.com.br/imoveis/venda/casas/estado-mg/belo-horizonte-e-regiao/zona-nordeste?rts=301,24,finished
https://www.olx.com.br/imoveis/venda/casas/estado-mg/belo-horizonte-e-regiao/zona-nordeste?rts=300,43,finished
https://www.olx.com.br/imoveis/venda/casas/estado-mg/belo-horizonte-e-regiao/zona-nordeste,2321,finished
https://www.olx.com.br/imoveis/venda/casas/estado-mg/belo-horizonte-e-regiao/zona-noroeste?rts=301,9,finished
https://www.olx.com.br/imoveis/venda/casas/estado-mg/belo-horizonte-e-regiao/zona-noroeste?rts=300,34,finished
https://www.olx.com.br/imoveis/venda/casas/estado-mg/belo-horizonte-e-regiao/zona-noroeste,3166,finished
https://www.olx.com.br/imoveis/venda/casas/estado-mg/belo-horizonte-e-regiao/zona-norte?rts=301,16,finished
https://www.olx.com.br/imoveis/venda/casas/estado-mg/belo-horizonte-e-regiao/zona-norte?rts=300,93,finished
https://www.olx.com.br/imoveis/venda/casas/estado-mg/belo-horizonte-e-regiao/zona-norte,2194,finished
https://www.olx.com.br/imoveis/venda/casas/estado-mg/belo-horizonte-e-regiao/zona-oeste?rts=301,28,finished
https://www.olx.com.br/imoveis/venda/casas/estado-mg/belo-horizonte-e-regiao/zona-oeste?rts=300,262,finished
https://www.olx.com.br/imoveis/venda/casas/estado-mg/belo-horizonte-e-regiao/zona-oeste,2187,finished
https://www.olx.com.br/imoveis/aluguel/casas/estado-mg/belo-horizonte-e-regiao/barreiro?rts=301,3,finished
https://www.olx.com.br/imoveis/aluguel/casas/estado-mg/belo-horizonte-e-regiao/barreiro?rts=300,2,finished
https://www.olx.com.br/imoveis/aluguel/casas/estado-mg/belo-horizonte-e-regiao/barreiro,150,finished
https://www.olx.com.br/imoveis/aluguel/casas/estado-mg/belo-horizonte-e-regiao/pampulha?rts=301,4,finished
https://www.olx.com.br/imoveis/aluguel/casas/estado-mg/belo-horizonte-e-regiao/pampulha?rts=300,44,finished
https://www.olx.com.br/imoveis/aluguel/casas/estado-mg/belo-horizonte-e-regiao/pampulha,560,finished
https://www.olx.com.br/imoveis/aluguel/casas/estado-mg/belo-horizonte-e-regiao/venda-nova?rts=301,1,finished
https://www.olx.com.br/imoveis/aluguel/casas/estado-mg/belo-horizonte-e-regiao/venda-nova?rts=300,7,finished
https://www.olx.com.br/imoveis/aluguel/casas/estado-mg/belo-horizonte-e-regiao/venda-nova,160,finished
https://www.olx.com.br/imoveis/aluguel/casas/estado-mg/belo-horizonte-e-regiao/zona-centro-sul?rts=301,2,finished
https://www.olx.com.br/imoveis/aluguel/casas/estado-mg/belo-horizonte-e-regiao/zona-centro-sul?rts=300,14,finished
https://www.olx.com.br/imoveis/aluguel/casas/estado-mg/belo-horizonte-e-regiao/zona-centro-sul,629,finished
https://www.olx.com.br/imoveis/aluguel/casas/estado-mg/belo-horizonte-e-regiao/zona-leste?rts=301,5,finished
https://www.olx.com.br/imoveis/aluguel/casas/estado-mg/belo-horizonte-e-regiao/zona-leste?rts=300,2,finished
https://www.olx.com.br/imoveis/aluguel/casas/estado-mg/belo-horizonte-e-regiao/zona-leste,211,finished
https://www.olx.com.br/imoveis/aluguel/casas/estado-mg/belo-horizonte-e-regiao/zona-nordeste?rts=301,4,finished
https://www.olx.com.br/imoveis/aluguel/casas/estado-mg/belo-horizonte-e-regiao/zona-nordeste?rts=300,1,finished
https://www.olx.com.br/imoveis/aluguel/casas/estado-mg/belo-horizonte-e-regiao/zona-nordeste,183,finished
https://www.olx.com.br/imoveis/aluguel/casas/estado-mg/belo-horizonte-e-regiao/zona-noroeste?rts=300,7,finished
https://www.olx.com.br/imoveis/aluguel/casas/estado-mg/belo-horizonte-e-regiao/zona-noroeste,314,finished
https://www.olx.com.br/imoveis/aluguel/casas/estado-mg/belo-horizonte-e-regiao/zona-norte?rts=301,2,finished
https://www.olx.com.br/imoveis/aluguel/casas/estado-mg/belo-horizonte-e-regiao/zona-norte?rts=300,11,finished
https://www.olx.com.br/imoveis/aluguel/casas/estado-mg/belo-horizonte-e-regiao/zona-norte,124,finished
https://www.olx.com.br/imoveis/aluguel/casas/estado-mg/belo-horizonte-e-regiao/zona-oeste?rts=301,4,finished
https://www.olx.com.br/imoveis/aluguel/casas/estado-mg/belo-horizonte-e-regiao/zona-oeste?rts=300,12,finished
https://www.olx.com.br/imoveis/aluguel/casas/estado-mg/belo-horizonte-e-regiao/zona-oeste,235,finished
